ticker,date,open,high,low,close,vol,exchange
AA.P,04-16-2016,91,91,90,91,5700,AMEX
AADR,04-16-2016,38.15,38.15,38.09,38.14,3100,AMEX
AAMC,04-16-2016,16.68,18.43,16.25,18.02,22600,AMEX
AAU,04-16-2016,1,1.24,1,1.12,2947000,AMEX
ABE,04-16-2016,11.7,11.7,11.63,11.63,4800,AMEX
ACIM,04-16-2016,61.38,61.38,61.06,61.23,6000,AMEX
ACU,04-16-2016,16.28,16.95,16.28,16.82,1800,AMEX
ACWF,04-16-2016,22.83,22.83,22.83,22.83,100,AMEX
ACWV,04-16-2016,73.55,73.74,73.37,73.51,146800,AMEX
ACY,04-16-2016,11.15,11.15,11.15,11.15,1000,AMEX
ADGE,04-16-2016,0.3,0.3,0.3,0.3,4200,AMEX
ADK,04-16-2016,2.36,2.37,2.28,2.3,9000,AMEX
ADK-A,04-16-2016,21.99,21.99,21.75,21.75,3000,AMEX
AE,04-16-2016,36.03,36.18,35.25,35.75,8200,AMEX
AFCO,04-16-2016,6.33,6.35,6.22,6.35,16200,AMEX
AFK,04-16-2016,18.92,19.1,18.72,18.89,131300,AMEX
AFTY,04-16-2016,12.91,12.91,12.72,12.73,22700,AMEX
AGA,04-16-2016,29,29,29,29,100,AMEX
AGG,04-16-2016,111,111,110.81,110.88,2318300,AMEX
AGGY,04-16-2016,50.79,50.8,50.72,50.76,14000,AMEX
AGQ,04-16-2016,32.01,32.69,31.99,32.56,158300,AMEX
AGZ,04-16-2016,114.75,114.85,114.63,114.85,11500,AMEX
AIII,04-16-2016,1.65,1.74,1.53,1.55,35400,AMEX
AINC,04-16-2016,45.17,46.3,45.17,45.75,7900,AMEX
AIRI,04-16-2016,6.04,6.04,5.9,6.04,4300,AMEX
AKG,04-16-2016,2.41,2.53,2.38,2.49,309300,AMEX
ALD,04-16-2016,45.05,45.08,45.01,45.05,17100,AMEX
ALFA,04-16-2016,33.57,33.6,33.27,33.31,23000,AMEX
ALFI,04-16-2016,19.5,19.53,19.5,19.53,13300,AMEX
ALN,04-16-2016,1.1,1.1,1.08,1.09,7800,AMEX
ALTS,04-16-2016,37.84,37.9,37.78,37.78,6000,AMEX
AMCO,04-16-2016,0.25,0.25,0.22,0.24,56400,AMEX
AMJ,04-16-2016,26.69,27.25,26.69,26.93,2088500,AMEX
AMLP,04-16-2016,10.93,11.01,10.81,10.89,7436400,AMEX
AMPE,04-16-2016,3.25,3.4,3.05,3.2,323500,AMEX
AMS,04-16-2016,2.36,2.37,2.18,2.37,6000,AMEX
AMU,04-16-2016,17.04,17.07,16.8,16.87,45600,AMEX
AMZA,04-16-2016,8.73,8.88,8.59,8.73,52400,AMEX
ANGL,04-16-2016,25.79,25.98,25.71,25.77,67800,AMEX
AOA,04-16-2016,44.94,45,44.75,44.82,65400,AMEX
AOK,04-16-2016,32.27,32.28,32.17,32.24,32800,AMEX
AOM,04-16-2016,34.65,34.69,34.52,34.61,128200,AMEX
AOR,04-16-2016,39.15,39.21,39.03,39.06,114600,AMEX
APHB,04-16-2016,3.95,4.05,3.68,3.68,19400,AMEX
APT,04-16-2016,1.9,1.92,1.88,1.88,24400,AMEX
ARGT,04-16-2016,18.71,18.88,18.67,18.88,13100,AMEX
ARKG,04-16-2016,18.57,18.69,18.26,18.37,3000,AMEX
ARKK,04-16-2016,19.39,19.39,19.39,19.39,200,AMEX
ARKQ,04-16-2016,19.19,19.19,19.19,19.19,100,AMEX
ARKW,04-16-2016,20.87,20.88,20.59,20.73,9700,AMEX
ASEA,04-16-2016,13.48,13.48,13.2,13.26,600,AMEX
ASHR,04-16-2016,24.5,24.53,24.24,24.36,1673600,AMEX
ASHS,04-16-2016,34.99,35.04,34.69,34.81,12000,AMEX
ASM,04-16-2016,1.01,1.08,1.01,1.08,219400,AMEX
AST,04-16-2016,4.53,4.53,4.25,4.36,82800,AMEX
ATMP,04-16-2016,17.91,18.3,17.91,18.03,137900,AMEX
ATNM,04-16-2016,1.97,2.03,1.97,1.99,535100,AMEX
AUMN,04-16-2016,0.49,0.55,0.48,0.53,494500,AMEX
AUNZ,04-16-2016,17.93,18.09,17.93,17.97,18400,AMEX
AUSE,04-16-2016,46.6,46.6,46.05,46.05,8600,AMEX
AWX,04-16-2016,1.97,1.97,1.85,1.85,500,AMEX
AXJL,04-16-2016,55.47,55.47,55.25,55.25,3400,AMEX
AXJV,04-16-2016,46.66,46.66,46.66,46.66,100,AMEX
AXN,04-16-2016,0.68,0.68,0.64,0.64,15900,AMEX
AXU,04-16-2016,1,1.09,0.96,1.08,608800,AMEX
BAA,04-16-2016,0.26,0.27,0.25,0.26,1143300,AMEX
BAB,04-16-2016,30.39,30.49,30.29,30.35,297500,AMEX
BABS,04-16-2016,63.38,63.48,62.66,63.47,5200,AMEX
BAL,04-16-2016,39.31,39.59,39.29,39.41,4700,AMEX
BBRC,04-16-2016,15.54,15.54,15.35,15.37,20100,AMEX
BCM,04-16-2016,24.39,24.45,24.38,24.45,800,AMEX
BCV,04-16-2016,17.81,17.97,17.81,17.96,5100,AMEX
BDCL,04-16-2016,15.7,15.73,15.5,15.54,145000,AMEX
BDCS,04-16-2016,20.46,20.46,20.01,20.02,25800,AMEX
BDL,04-16-2016,20.6,20.73,20.25,20.7,2900,AMEX
BDR,04-16-2016,0.38,0.38,0.36,0.38,1100,AMEX
BFOR,04-16-2016,30.03,30.03,29.67,29.75,14500,AMEX
BFY,04-16-2016,15.92,16.08,15.73,15.95,15600,AMEX
BGI,04-16-2016,0.45,0.47,0.45,0.47,4000,AMEX
BGSF,04-16-2016,14.95,14.95,14.61,14.65,5300,AMEX
BHB,04-16-2016,32.8,32.85,32.25,32.37,6800,AMEX
BHV,04-16-2016,18.6,18.9,18.6,18.75,3900,AMEX
BIGD,04-16-2016,21.3,21.3,21.3,21.3,100,AMEX
BIK,04-16-2016,18.37,18.37,18.28,18.28,2300,AMEX
BIL,04-16-2016,45.69,45.7,45.69,45.7,383900,AMEX
BIV,04-16-2016,86.41,86.47,86.29,86.39,389700,AMEX
BIZD,04-16-2016,16.07,16.24,16.07,16.09,15100,AMEX
BJK,04-16-2016,33.7,33.7,33.08,33.27,3900,AMEX
BKF,04-16-2016,29.25,29.34,29.15,29.21,36400,AMEX
BKJ,04-16-2016,12.5,12.65,11.01,11.25,83700,AMEX
BKLN,04-16-2016,22.65,22.67,22.62,22.65,1323900,AMEX
BLE,04-16-2016,16.06,16.11,16.04,16.09,38300,AMEX
BLJ,04-16-2016,16.7,16.75,16.24,16.75,3700,AMEX
BLV,04-16-2016,93.99,94.26,93.67,93.92,125500,AMEX
BND,04-16-2016,83.06,83.07,82.97,83.04,1402200,AMEX
BNDS,04-16-2016,58.69,58.71,58.61,58.65,299300,AMEX
BNO,04-16-2016,12.6,12.81,12.54,12.75,248200,AMEX
BOIL,04-16-2016,11.48,11.48,11.04,11.08,107700,AMEX
BOM,04-16-2016,22.71,22.77,22.63,22.77,15600,AMEX
BOND,04-16-2016,105.78,105.85,105.64,105.76,212800,AMEX
BOS,04-16-2016,27.28,27.28,27.28,27.28,100,AMEX
BPMX,04-16-2016,0.96,1.02,0.93,0.93,62600,AMEX
BRAQ,04-16-2016,9.71,9.71,9.46,9.52,400,AMEX
BRAZ,04-16-2016,7,7,7,7,100,AMEX
BRF,04-16-2016,12.13,12.39,12.13,12.39,31000,AMEX
BRG,04-16-2016,10.88,11.08,10.83,10.96,146700,AMEX
BRG-A,04-16-2016,25.29,25.37,25.22,25.26,8900,AMEX
BRN,04-16-2016,1.71,1.71,1.6,1.6,2300,AMEX
BRZU,04-16-2016,73.56,78.34,73.56,77.99,141500,AMEX
BSCG,04-16-2016,22.05,22.08,22.05,22.05,37600,AMEX
BSCH,04-16-2016,22.65,22.7,22.63,22.66,95800,AMEX
BSCI,04-16-2016,21.18,21.18,21.15,21.17,141600,AMEX
BSCJ,04-16-2016,21.23,21.27,21.2,21.24,77400,AMEX
BSCK,04-16-2016,21.39,21.42,21.32,21.42,115500,AMEX
BSCL,04-16-2016,21.11,21.2,21.11,21.2,44900,AMEX
BSCM,04-16-2016,21.09,21.09,21.05,21.09,58600,AMEX
BSCN,04-16-2016,20.82,20.83,20.76,20.82,14700,AMEX
BSCO,04-16-2016,20.71,20.71,20.61,20.69,23400,AMEX
BSCP,04-16-2016,20.63,20.64,20.59,20.64,3200,AMEX
BSJG,04-16-2016,25.77,25.8,25.75,25.76,47200,AMEX
BSJH,04-16-2016,25.43,25.46,25.41,25.44,92400,AMEX
BSJI,04-16-2016,24.15,24.15,24.08,24.12,90800,AMEX
BSJJ,04-16-2016,23.14,23.21,23.08,23.11,87400,AMEX
BSJK,04-16-2016,22.94,22.94,22.84,22.9,43100,AMEX
BSJL,04-16-2016,23.34,23.4,23.3,23.37,9100,AMEX
BSJM,04-16-2016,23.41,23.5,23.41,23.49,5400,AMEX
BSJN,04-16-2016,25.27,25.28,25.27,25.27,700,AMEX
BSV,04-16-2016,80.68,80.7,80.64,80.7,1080900,AMEX
BTAL,04-16-2016,22.31,22.45,22.21,22.45,13200,AMEX
BTG,04-16-2016,1.63,1.68,1.63,1.66,2340400,AMEX
BTI,04-16-2016,117.93,118.26,117.53,117.86,314900,AMEX
BTN,04-16-2016,4.63,4.76,4.63,4.7,18400,AMEX
BTX,04-16-2016,3.2,3.2,2.95,3.02,249900,AMEX
BTX.W,04-16-2016,0.62,0.72,0.62,0.64,4200,AMEX
BUNL,04-16-2016,31.78,31.78,31.78,31.78,200,AMEX
BVX,04-16-2016,1.67,1.73,1.62,1.72,56100,AMEX
BWL.A,04-16-2016,14.12,14.12,14.12,14.12,100,AMEX
BWV,04-16-2016,63.55,63.55,63.55,63.55,100,AMEX
BWX,04-16-2016,56.07,56.25,56.05,56.18,122200,AMEX
BWZ,04-16-2016,31.63,31.63,31.44,31.46,50000,AMEX
BYLD,04-16-2016,24.59,24.71,24.58,24.71,2500,AMEX
BZF,04-16-2016,14.34,14.47,14.34,14.4,2500,AMEX
BZM,04-16-2016,15.56,15.75,15.5,15.57,9800,AMEX
BZQ,04-16-2016,40.97,40.98,38.91,38.95,135200,AMEX
CAFE,04-16-2016,12.79,12.86,12.79,12.81,2100,AMEX
CANE,04-16-2016,9.87,10.28,9.87,10.28,1800,AMEX
CANF,04-16-2016,3,3.15,2.91,3.1,129200,AMEX
CAPE,04-16-2016,84.18,84.18,83.87,83.97,1100,AMEX
CAW,04-16-2016,3.3,3.33,3.28,3.28,3200,AMEX
CBND,04-16-2016,31.96,31.96,31.92,31.95,6300,AMEX
CBON,04-16-2016,24.24,24.26,24.17,24.19,3600,AMEX
CCA,04-16-2016,12.84,12.99,12.8,12.87,26700,AMEX
CCF,04-16-2016,52.5,53.13,51.54,53.13,34600,AMEX
CCX,04-16-2016,16.1,16.1,16.1,16.1,1200,AMEX
CCXE,04-16-2016,21.8,21.8,21.8,21.8,100,AMEX
CEF,04-16-2016,12.09,12.15,12.07,12.13,1284700,AMEX
CEFL,04-16-2016,15.45,15.51,15.4,15.45,109700,AMEX
CEMB,04-16-2016,49.81,49.81,49.37,49.81,2100,AMEX
CET,04-16-2016,19.04,19.13,18.91,18.98,31900,AMEX
CEV,04-16-2016,14.44,14.44,14.23,14.25,23100,AMEX
CEW,04-16-2016,17.6,17.67,17.6,17.61,10600,AMEX
CFD,04-16-2016,8.78,8.85,8.78,8.82,8900,AMEX
CGW,04-16-2016,27.9,28.01,27.84,27.9,39700,AMEX
CH,04-16-2016,5.9,5.93,5.84,5.9,38200,AMEX
CHAD,04-16-2016,43.4,43.61,43,43.59,24800,AMEX
CHAU,04-16-2016,18.27,18.31,17.93,18.06,311100,AMEX
CHEP,04-16-2016,23.75,24.66,23.73,24.66,3200,AMEX
CHII,04-16-2016,11.9,11.9,11.9,11.9,800,AMEX
CHIM,04-16-2016,12.17,12.18,12.17,12.18,400,AMEX
CHIQ,04-16-2016,11.14,11.2,11.07,11.12,8700,AMEX
CHIX,04-16-2016,12.12,12.19,12,12.07,40700,AMEX
CHOC,04-16-2016,42.47,42.47,42.47,42.47,100,AMEX
CIK,04-16-2016,2.79,2.82,2.79,2.82,108800,AMEX
CIU,04-16-2016,109.7,109.78,109.61,109.7,490700,AMEX
CIX,04-16-2016,10.01,10.29,9.99,10.29,1900,AMEX
CJNK,04-16-2016,25.31,25.31,25.19,25.3,11600,AMEX
CKX,04-16-2016,10.9,10.9,10.9,10.9,200,AMEX
CLAW,04-16-2016,38,38,38,38,200,AMEX
CLM,04-16-2016,15.43,15.59,15.33,15.48,254100,AMEX
CLY,04-16-2016,60.02,60.13,59.73,59.93,94000,AMEX
